tweet_id,tweet,type,label,user_name,user_id,protected,followers,annotation,chain_label
1397895650218430465,The country desperately needs vaccines to save lives. But the GOI is busy fighting with Twitter.,parent,NONE,Nidhi,3184454384.0,False,995101.0,N,4
1397895959116345347,"@Nidhi if companies are not manufacturing what can any Government do.. it's not like cooking food. 

Journalist should develop some brain.",comment,NONE,a01nar,4591449193.0,False,201.0,N,4
1397898335403622401,"@a01nar @Nidhi Mr Fake ID, do you know how many vaccine production centres are kept closed by the centre? They could well be used for producing Covaxin. Is 'Bond' a reason?",reply,HOF,dr_rajagopalan,1.0265741408605102e+18,False,8.0,I,4
1397938350682611713,@a01nar @Nidhi Only andh bhakts keep themselves covered with gobar to get  protection  from covid. If govt fails to order vaccine in time who would manufacture more than ordered quantities. https://t.co/0GmZMMPgU0,reply,HOF,ashok_rastogi,118935121.0,False,45.0,E,4
1397951296519376897,@a01nar @Nidhi if brain is not.. what they will do,reply,HOF,K_S_Raja,138338059.0,False,138.0,I,4
1398025266161586177,"@a01nar @Nidhi If he had brains, she wouldn't post such dumb things on SM",reply,HOF,chait99,145985109.0,False,120.0,E,4
1398030709420294146,@a01nar @Nidhi Govt can announce one more mega TIKA UTSAV to make bhakt happy 😊,reply,HOF,drkirankiran,415425230.0,False,33.0,I,4
1398114518652260354,@a01nar @Nidhi BHAKT NAHI SUDHRE GA😂😂😂,reply,HOF,Hamza33589016,1.1467383691388518e+18,False,2.0,E,4
1398137930170834944,@a01nar @Nidhi they kept their Brain at Tweeter head office..,reply,HOF,SMNasi015,4880161989.0,False,37.0,I,4
1398147001984847879,@a01nar @Nidhi Hoo... Poor government,reply,NONE,Unais411,1.0307364639971656e+18,False,26.0,N,4
1398017926897225731,@a01nar @Nidhi Keep licking the boots.... https://t.co/EsyGmAagBB,reply,HOF,chebrazuga,285461807.0,False,48.0,E,4
1397897047114723332,"@a01nar @Nidhi Congratulations, you have been diagnosed with orange fungus.",reply,HOF,khera_rishi,51706581.0,False,79.0,I,4
1398163039585673217,@a01nar @Nidhi At least vaccinate cow dung or cow urine.,reply,NONE,Singh50120797,1.2405169176657797e+18,False,14.0,N,4
1397895973968367620,"@Nidhi So, Modi, Amit etc should go to the lab and start cooking the vaccines??",comment,NONE,,,,,N,4
1397897874705305603,@SyntaxErrorism @Nidhi Modi &amp; shah cooking https://t.co/3m8uqz3uTL,reply,NONE,Utd_arjun,1.1013327756159468e+18,False,222.0,N,4
1397947579384532995,"@SyntaxErrorism @Nidhi Rather according to her, Smriti Irani and S. Jaishankar should manufacturer vaccine and Yes President and vice president too manufacturer vaccine",reply,HOF,AswathamaHaiApn,2723340884.0,False,3.0,I,4
1398083634360315908,@SyntaxErrorism @Nidhi And acc to her she will be busy in gvng fake updates of what al is hapening in the lab🤣🤣,reply,HOF,,,,,N,4
1397896180135202821,"@Nidhi Ministry of IT is dealing with twitter, it has no role in vaccine procurement. Vaccines aren't there, doesn't mean everything else in the country will be stopped.",comment,NONE,Dontpushyourluk,1.3534032461912596e+18,False,471.0,N,4
1397911505509654528,"@Dontpushyourluk @Nidhi She is from @Harvard, right?

They are intellectuals &amp; smart, how can you correct her!? 
Be the words whatever nonsense &amp; sh¡t- what she is speaking is intelligent!
It's IT department's responsiblity to make vaccines.
Also, I request @elonmusk to make vaccines.",reply,HOF,shrinivas_pande,8.759971551646433e+17,False,252.0,I,4
1397951222557118477,@Dontpushyourluk @Nidhi Just proves her sense and IQ!!!,reply,NONE,Ruchika87373449,1.2630667770781164e+18,False,444.0,N,4
1397982027484307459,"@Dontpushyourluk @Nidhi (New Blog Post)🖋️

𝟕 𝐘𝐞𝐚𝐫𝐬 𝐨𝐟 𝐌𝐨𝐝𝐢'𝐬 𝐆𝐨𝐯𝐞𝐫𝐧𝐦𝐞𝐧𝐭 🇮🇳

👇( Click &amp; Read )
https://t.co/Sq8ag4IHpq

@narendramodi",reply,NONE,__Shubz__,1.2449324606826414e+18,False,650.0,N,4
1397897344994070532,@Nidhi When country need vaccination you your boyfriend abdulla and your malik oppose the indian vaccine😡😡,comment,HOF,Dikshapandey22,1.1134088500470988e+18,False,81563.0,I,4
1397912660688052228,@Dikshapandey22 @Nidhi Omar Abdullah is her boyfriend?,reply,NONE,ambitiousmayank,302766743.0,False,502.0,N,4
1397897601144422406,@Nidhi Aunty for your kind information the cases have gone very down now and the vaccination drive is going very well and GOI is doing its job so better don't dictate like CCP.,comment,HOF,rahul_aghariya,1.3801045702279905e+18,False,33.0,I,4
1397932752763162626,@rahul_aghariya what? There are no vaccines available for 18-44 in any state including delhi. I could not get the slot at all. Also only 3% of India's population is fully vaccinated at best,reply,NONE,jaisuper100,8.132677836810772e+17,False,181.0,N,4
1398053761533153281,@gunsoflogic @Nidhi Kitne paise mile tweet ke,comment,HOF,Shoiab7071,9.469822547517932e+17,False,76.0,I,4
1398162043916619776,@Shoiab7071 @gunsoflogic @Nidhi Jitne Teri ammi ka halala ke waqt mile the,reply,HOF,,,,,N,4
1397898088258293761,"@Nidhi The country is fighting a war on Covid. But, media &amp; the opposition shamelessly support the likes of Farm Protests to create covid hotspots &amp; ensuring panic!",comment,NONE,Preetam_M_Rao,562164552.0,False,10146.0,N,4
1397900979194908675,"@Preetam_M_Rao @Nidhi Govt is fighting Corona very rightly &amp; intelligently.
But media, people like you are instead of helping people face the corona challenge are fighting with Govt.
Most of you enjoy running down country.",reply,NONE,HDDubey9,1.2125766221648978e+18,False,4704.0,N,4
1397898088765739013,@Nidhi @virsanghvi @MoHFW_INDIA is busy with vaccines and @GoI_MeitY is fighting with @Twitter. GOI have lots of people to do simultaneous work at the same time.,comment,NONE,varun_dib,117648263.0,False,292.0,N,4
1397899179364548609,"@varun_dib @Nidhi @MoHFW_INDIA @GoI_MeitY @Twitter Actually no. The vaccine decisions are being taken by the Cabinet Secretary who is Chairing the meetings.
They don’t trust the health ministry to combat Covid on it’s own. (Would you?😀)
So, not lots of different people. Same people!",reply,NONE,virsanghvi,43568964.0,False,4248130.0,N,4
1398180543917793281,"@varun_dib @Nidhi @virsanghvi @MoHFW_INDIA @GoI_MeitY @Twitter 'Lots of people' indeed! who should have all been simultaneously working to get us, the citizens, the bloody vaccines",reply,HOF,The_Dravidian,328896494.0,False,47.0,I,4
1397948784710078468,"@varun_dib @Nidhi @virsanghvi @MoHFW_INDIA @GoI_MeitY @Twitter dear genius, the cabinet secretary also provides assistance to the council of Ministers and prepares the agenda of the cabinet. his role is not limited to one department and the rest about meity rolling out the notice against Twitter is basically doing their job. cakewalk thing.",reply,NONE,,,,,N,4
1397898207946960896,"@Nidhi While patients are suffering from Covid, you journalists are tweeting &amp; reporting about Govt, You guys should be wearing the PPE kits and helping doctors out there.",comment,NONE,Humor_Silly,7.159148178070774e+17,False,21411.0,N,4
1397898288439857157,@Nidhi Tum to rahane do! 😀#Harvard,comment,HOF,Veteran__007,187091188.0,False,7120.0,I,4
1397898437211824137,"@Nidhi IT minister should work on vaccination? Or should they find another better vaccine? What do you expect them to do at this time?

Sab apke jaise talented nahi hote na madam jo NDTV &amp; Harvard university dono jagah kaam kar le...",comment,HOF,MrSinha_,1.0900840799643484e+18,False,59142.0,I,4
1397906377054425098,@MrSinha_ @Nidhi That's why she is HARWARD return,reply,HOF,rd202021,53984779.0,False,363.0,I,4
1397916975129501699,"@MrSinha_ @Nidhi 1)In modis govt things are different. Yesterday defence minister was handling education matter.
2)under Modi no one is independent. They are all working as per his instruction. Entire govt is busy in this matter.
Wish they shown such alacrity on #covid and vaccine procurement.",reply,NONE,,,,,N,4
1397931376234557442,@MrSinha_ @Nidhi Tumhara toh health minister bhi not working on vaccination.,reply,HOF,Riptidecluster,1162994005.0,False,389.0,I,4
1397946197143216137,"@MrSinha_ @Nidhi Thank god Harvard didn't took her , she didn't know what meITy does .",reply,HOF,AswathamaHaiApn,2723340884.0,False,3.0,I,4
1397946919859544065,@MrSinha_ @Nidhi What an answer bro!!! 😀👏,reply,HOF,positive__india,136889194.0,False,88.0,I,4
1397950327144415237,@MrSinha_ @Nidhi Nailed it .,reply,HOF,a_b_h_a_y_1,2657276052.0,False,149.0,I,4
1397954325016498177,@MrSinha_ @Nidhi Hahahahahaha 🤣😂🤣🤣,reply,HOF,Sapna71970980,1.178781460490117e+18,False,41.0,I,4
1397955010432929794,@MrSinha_ @Nidhi ये तो गजब बेज्जती हैं। 😂,reply,HOF,miraculousyoga,7.425672392248525e+17,False,348.0,I,4
1397961186637873153,@MrSinha_ @Nidhi Savage,reply,HOF,PrasoonTyagi11,1.1847885531479286e+18,False,14.0,I,4
1397964515216551939,@MrSinha_ @Nidhi Siculary tried to their best to neutralize goodwill generated for Mr Modi by vaccination program. By negative scarcity drama. Their days are counted now.,reply,NONE,GoutamRishi,119478728.0,False,396.0,N,4
1397994323195486209,@MrSinha_ @Nidhi Ya the same way defence minister held a meeting regarding the conduct of 12th board exams,reply,NONE,Harshit0903,1.2495474128902554e+18,False,23.0,N,4
1398127509808377858,@MrSinha_ @Nidhi Harvard University 😂😂,reply,HOF,SubhamChoudhar,1.238781131517907e+18,False,72.0,I,4
1398228905249574921,@MrSinha_ @Nidhi Hahahahahahahahahhahahahahahahahahahhaahhahahahahahahhahahahahahahah,reply,HOF,,,,,I,4
1398296299686883334,@MrSinha_ @Nidhi Harvard 500,reply,HOF,,,,,N,4
1397946105304784898,"@MrSinha_ @Nidhi She is Alone, the other guys have 1000s, and it's not her job, but Job of ""Bhakton k Papa"".",reply,HOF,,,,,N,4
1398359145330348033,@MrSinha_ @Nidhi Woh Harward nahin Dharwad municipal school tha. Madam ji se typo ho gaya tha!😜,reply,HOF,GauravArora0409,1.3761303771404247e+18,False,532.0,I,4
1398160918576459776,"@MrSinha_ @Nidhi Nidhi Razvan,Columbia professor pagal hai,IT minister will make vaccine then what the health Minister will do .Talk sense you chamchi.",reply,HOF,GoutamKumarSam2,8.427907450565837e+17,False,2.0,E,4
